-451, -251, -17053, 9, -87, 25
-446, -242, -17073, -9, -17, 31
-445, -260, -17056, -3, -59, 31
-447, -268, -17066, 0, -89, 19
-438, -243, -17079, -3, -26, 27
-453, -251, -17062, 7, -51, 24
-445, -271, -17073, -15, -37, 33
-432, -249, -17068, -1, -47, 24
-457, -249, -17066, 7, -61, 21
-451, -253, -17064, 5, -66, 23
-456, -254, -17067, 9, -50, 29
-450, -258, -17080, -5, -28, 34
-427, -239, -17051, -8, -77, 17
-460, -252, -17079, -2, -45, 25
-436, -254, -17062, 3, -78, 26
-437, -254, -17079, 3, -79, 17
-458, -260, -17067, -6, -36, 23
-435, -245, -17060, -12, -31, 34
-435, -247, -17075, 6, -71, 19
-444, -271, -17087, 6, -58, 26
-439, -241, -17084, 2, -39, 16
-451, -242, -17077, 2, -53, 21
-447, -261, -17066, -3, -77, 21
-434, -243, -17071, 0, -33, 27
-464, -264, -17062, -6, -50, 28
-462, -261, -17054, -6, -70, 27
-458, -236, -17082, -10, -20, 41
-446, -267, -17067, -1, -52, 28
-440, -250, -17079, 7, -71, 20
-445, -237, -17078, -2, -50, 27
-444, -260, -17076, -7, -20, 31
-444, -247, -17063, 4, -86, 16
-442, -249, -17096, -15, -13, 36
-453, -257, -17039, -21, -17, 40
-452, -246, -17069, 0, -78, 20
-436, -255, -17086, 2, -50, 23
-447, -252, -17050, -5, -42, 23
-436, -245, -17072, -3, -71, 25
-439, -250, -17081, -6, -63, 19
-442, -258, -17079, 5, -47, 22
-445, -233, -17068, 3, -55, 20
-448, -261, -17073, -15, -55, 28
-453, -260, -17048, 0, -41, 24
-451, -251, -17062, -4, -47, 26
-446, -268, -17073, -10, -67, 24
-455, -249, -17063, -5, -41, 18
-441, -244, -17070, -12, -42, 29
-455, -250, -17095, -5, -46, 28
-431, -248, -17053, 1, -75, 27
-442, -258, -17064, -9, -16, 35
-448, -258, -17066, -16, -42, 38
-440, -256, -17045, 4, -78, 16
-444, -256, -17072, -11, -6, 36
-449, -264, -17074, -7, -50, 19
-453, -232, -17065, -15, -53, 30
-449, -258, -17078, -5, -43, 33
-434, -236, -17085, 10, -57, 21
-444, -248, -17039, 1, -58, 27
-451, -258, -17073, -2, -66, 32
-444, -254, -17064, -5, -35, 23
-476, -255, -17066, -7, -32, 34
-386, -213, -17124, 6, -93, 23
-23, -96, -17211, -11, -40, 26
-587, -301, -17073, -8, -22, 34
-635, -297, -17008, 11, -74, 16
-394, -234, -17149, 2, -55, 22
-428, -269, -17045, -2, -24, 33
-553, -246, -17066, -9, -55, 28
